MY_COLOR,IN_FEN,OUT_FORMAT,OUT_STANDARD
WHITE,r1q2rk1/1pnb1pbp/3p2p1/pP1Pp2n/P3P3/2N3PP/5PBK/RNBQ1R2 w - - 3 17,b1d2,b1d2
WHITE,r1q2rk1/1p1b1pbp/n2p2p1/pP1Pp2n/P3P3/2N3PP/3N1PBK/R1BQ1R2 w - - 5 18,a1a3,a1a3
WHITE,r1q2rk1/1p1b2bp/n2p2p1/pP1Ppp1n/P3P3/R1N3PP/3N1PBK/2BQ1R2 w - - 0 19,b5a6,b5a6
WHITE,2q2rk1/1p1b2bp/r2p2p1/p2Ppp1n/P3P3/R1N3PP/3N1PBK/2BQ1R2 w - - 0 20,e4f5,e4f5
WHITE,2q2rk1/1p4bp/r2p2p1/p2Ppb1n/P7/R1N3PP/3N1PBK/2BQ1R2 w - - 0 21,d2e4,d2e4
WHITE,2q2rk1/1p4bp/r2p1np1/p2Ppb2/P3N3/R1N3PP/5PBK/2BQ1R2 w - - 2 22,e4f6,e4f6
WHITE,2q2rk1/1p5p/r2p1bp1/p2Ppb2/P7/R1N3PP/5PBK/2BQ1R2 w - - 0 23,c3e4,c3e4
WHITE,2q2rk1/1p4bp/r2p2p1/p2Ppb2/P3N3/R5PP/5PBK/2BQ1R2 w - - 2 24,a3c3,a3c3
WHITE,5rk1/1p1q2bp/r2p2p1/p2Ppb2/P3N3/2R3PP/5PBK/2BQ1R2 w - - 4 25,d1b3,d1b3
WHITE,r4rk1/1p1q2bp/3p2p1/p2Ppb2/P3N3/1QR3PP/5PBK/2B2R2 w - - 6 26,c1e3,c1e3
WHITE,r4rk1/1p1q2bp/3p2p1/p2Pp3/P3b3/1QR1B1PP/5PBK/5R2 w - - 0 27,g2e4,g2e4
WHITE,r5k1/1p1q1rbp/3p2p1/p2Pp3/P3B3/1QR1B1PP/5P1K/5R2 w - - 1 28,f1c1,f1c1
WHITE,5rk1/1p1q1rbp/3p2p1/p2Pp3/P3B3/1QR1B1PP/5P1K/2R5 w - - 3 29,b3c2,b3c2
WHITE,5rk1/1p1q1r1p/3p1bp1/p2Pp3/P3B3/2R1B1PP/2Q2P1K/2R5 w - - 5 30,c3c7,c3c7
WHITE,3q1rk1/1pR2r1p/3p1bp1/p2Pp3/P3B3/4B1PP/2Q2P1K/2R5 w - - 7 31,c7f7,c7f7
WHITE,3q2k1/1p3r1p/3p1bp1/p2Pp3/P3B3/4B1PP/2Q2P1K/2R5 w - - 0 32,c2c8,c2c8
WHITE,2q3k1/1p3r1p/3p1bp1/p2Pp3/P3B3/4B1PP/5P1K/2R5 w - - 0 33,c1c8,c1c8
WHITE,2R5/1p3rkp/3p1bp1/p2Pp3/P3B3/4B1PP/5P1K/8 w - - 1 34,e3b6,e3b6
BLACK,rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 1,d7d6,d7d6
BLACK,rnbqkbnr/ppp1pppp/3p4/8/2P5/1P6/P2PPPPP/RNBQKBNR b KQkq - 0 2,g7g6,g7g6
BLACK,rnbqkbnr/ppp1pp1p/3p2p1/8/2P5/1P6/PB1PPPPP/RN1QKBNR b KQkq - 1 3,g8f6,g8f6
BLACK,rnbqkb1r/ppp1pp1p/3p1np1/8/2P5/1PN5/PB1PPPPP/R2QKBNR b KQkq - 3 4,f8g7,f8g7
BLACK,rnbqk2r/ppp1ppbp/3p1np1/8/2P5/1PN5/PBQPPPPP/R3KBNR b KQkq - 5 5,c7c5,c7c5
BLACK,rnbqk2r/pp2ppbp/3p1np1/2p5/2P5/1PN5/PBQPPPPP/2KR1BNR b kq - 1 6,b8c6,b8c6
BLACK,r1bqk2r/pp2ppbp/2np1np1/2p5/2P5/1PN1P3/PBQP1PPP/2KR1BNR b kq - 0 7,c8f5,c8f5
BLACK,r2qk2r/pp2ppbp/2np1np1/2p2b2/2P5/1PNPP3/PBQ2PPP/2KR1BNR b kq - 0 8,a7a6,a7a6
BLACK,r2qk2r/1p2ppbp/p1np1np1/2p2b2/2P5/1PNPPN2/PBQ2PPP/2KR1B1R b kq - 1 9,b7b5,b7b5
