INDEX,COLOR,OUT_INDEX,OUTPUT_DATA_REL,OUTPUT_DATA_FMT,OUTPUT_DATA_RAW
1043,BLACK,1460,b1c3,g8f6,g8f6
1044,BLACK,339,h2h3,a7a6,a7a6
1045,BLACK,97,e1f2,d8c7,d8c7
1046,BLACK,114,f1c4,c8f5,c8f5
1047,BLACK,304,f2f1,c7c8,c7c8
1048,BLACK,599,c4d3,f5e6,f5e6
1049,BLACK,181,a2a3,h7h6,h7h6
1050,BLACK,200,b2b4,g7g5,g7g5
1051,BLACK,1481,g1e2,b8d7,b8d7
1052,BLACK,566,b4b5,g5g4,g5g4
1053,BLACK,249,d2c3,e7f6,e7f6
1054,BLACK,404,c3c4,f6f5,f6f5
1055,BLACK,55,c1d2,f8e7,f8e7
1056,BLACK,257,d2e1,e7d8,e7d8
1057,BLACK,97,e1f2,d8c7,d8c7
1058,BLACK,1506,e2c3,d7f6,d7f6
1059,BLACK,1532,c3d5,f6e4,f6e4
1060,BLACK,123,f1e1,c8d8,c8d8
1061,BLACK,99,e1d2,d8e7,d8e7
1062,BLACK,0,O-O-O,O-O-O,e8c8
1063,BLACK,122,f1g1,c8b8,c8b8
1064,BLACK,246,d2b4,e7g5,e7g5
1065,BLACK,438,d3e2,e6d7,e6d7
1066,BLACK,139,g1h2,b8a7,b8a7
1067,BLACK,20,a1d1,h8e8,h8e8
1068,BLACK,280,e2f1,d7c8,d7c8
1069,BLACK,1645,d5c7,e4f2,e4f2
1070,BLACK,67,d1d6,e8e3,e8e3
1071,BLACK,1002,d6b6,e3g3,e3g3
1072,BLACK,103,e1d1,d8e8,d8e8
1073,BLACK,952,b6d6,g3e3,g3e3
1074,BLACK,756,b5b6,g4g3,g4g3
1075,BLACK,574,b4a4,g5h5,g5h5
1076,BLACK,552,a4b4,h5g5,h5g5
1077,BLACK,566,b4b5,g5g4,g5g4
1078,BLACK,590,c4c5,f5f4,f5f4
1079,BLACK,114,f1c4,c8f5,c8f5
1080,BLACK,1001,d6c6,e3f3,e3f3
1081,BLACK,589,c4d5,f5e4,f5e4
1082,WHITE,245,d2d4,d2d4,d2d4
1083,WHITE,50,c1f4,c1f4,c1f4
1084,WHITE,1460,b1c3,b1c3,b1c3
